Date,SPY,QQQ,GLD,TLT,BIL
2007-05-31,0.0,0.0,0.0,0.0,1.0
2007-06-01,0.0,0.0,0.0,0.0,1.0
2007-06-04,0.0,0.0,0.0,0.0,1.0
2007-06-05,0.0,0.0,0.0,0.0,1.0
2007-06-06,0.0,0.0,0.0,0.0,1.0
2007-06-07,0.0,0.0,0.0,0.0,1.0
2007-06-08,0.0,0.0,0.0,0.0,1.0
2007-06-11,0.0,0.0,0.0,0.0,1.0
2007-06-12,0.0,0.0,0.0,0.0,1.0
2007-06-13,0.0,0.0,0.0,0.0,1.0
2007-06-14,0.0,0.0,0.0,0.0,1.0
2007-06-15,0.0,0.0,0.0,0.0,1.0
2007-06-18,0.0,0.0,0.0,0.0,1.0
2007-06-19,0.0,0.0,0.0,0.0,1.0
2007-06-20,0.0,0.0,0.0,0.0,1.0
2007-06-21,0.0,0.0,0.0,0.0,1.0
2007-06-22,0.0,0.0,0.0,0.0,1.0
2007-06-25,0.0,0.0,0.0,0.0,1.0
2007-06-26,0.0,0.0,0.0,0.0,1.0
2007-06-27,0.0,0.0,0.0,0.0,1.0
2007-06-28,0.0,0.0,0.0,0.0,1.0
2007-06-29,0.0,0.0,0.0,0.0,1.0
2007-07-02,0.49461272386167493,0.25121590510615244,0.0,0.2541713710321727,0.0
2007-07-03,0.49461272386167493,0.25121590510615244,0.0,0.2541713710321727,0.0
2007-07-05,0.49461272386167493,0.25121590510615244,0.0,0.2541713710321727,0.0
2007-07-06,0.49461272386167493,0.25121590510615244,0.0,0.2541713710321727,0.0
2007-07-09,0.49461272386167493,0.25121590510615244,0.0,0.2541713710321727,0.0
2007-07-10,0.49461272386167493,0.25121590510615244,0.0,0.2541713710321727,0.0
2007-07-11,0.49461272386167493,0.25121590510615244,0.0,0.2541713710321727,0.0
2007-07-12,0.49461272386167493,0.25121590510615244,0.0,0.2541713710321727,0.0
2007-07-13,0.49461272386167493,0.25121590510615244,0.0,0.2541713710321727,0.0
2007-07-16,0.49461272386167493,0.25121590510615244,0.0,0.2541713710321727,0.0
2007-07-17,0.49461272386167493,0.25121590510615244,0.0,0.2541713710321727,0.0
2007-07-18,0.49461272386167493,0.25121590510615244,0.0,0.2541713710321727,0.0
2007-07-19,0.49461272386167493,0.25121590510615244,0.0,0.2541713710321727,0.0
2007-07-20,0.49461272386167493,0.25121590510615244,0.0,0.2541713710321727,0.0
2007-07-23,0.49461272386167493,0.25121590510615244,0.0,0.2541713710321727,0.0
2007-07-24,0.49461272386167493,0.25121590510615244,0.0,0.2541713710321727,0.0
2007-07-25,0.49461272386167493,0.25121590510615244,0.0,0.2541713710321727,0.0
2007-07-26,0.49461272386167493,0.25121590510615244,0.0,0.2541713710321727,0.0
2007-07-27,0.49461272386167493,0.25121590510615244,0.0,0.2541713710321727,0.0
2007-07-30,0.49461272386167493,0.25121590510615244,0.0,0.2541713710321727,0.0
2007-07-31,0.454460408786863,0.41432770871373437,0.0,0.13121188249940272,0.0
2007-08-01,0.454460408786863,0.41432770871373437,0.0,0.13121188249940272,0.0
2007-08-02,0.454460408786863,0.41432770871373437,0.0,0.13121188249940272,0.0
2007-08-03,0.454460408786863,0.41432770871373437,0.0,0.13121188249940272,0.0
2007-08-06,0.454460408786863,0.41432770871373437,0.0,0.13121188249940272,0.0
2007-08-07,0.454460408786863,0.41432770871373437,0.0,0.13121188249940272,0.0
2007-08-08,0.454460408786863,0.41432770871373437,0.0,0.13121188249940272,0.0
2007-08-09,0.454460408786863,0.41432770871373437,0.0,0.13121188249940272,0.0
2007-08-10,0.454460408786863,0.41432770871373437,0.0,0.13121188249940272,0.0
2007-08-13,0.454460408786863,0.41432770871373437,0.0,0.13121188249940272,0.0
2007-08-14,0.454460408786863,0.41432770871373437,0.0,0.13121188249940272,0.0
2007-08-15,0.454460408786863,0.41432770871373437,0.0,0.13121188249940272,0.0
2007-08-16,0.454460408786863,0.41432770871373437,0.0,0.13121188249940272,0.0
2007-08-17,0.454460408786863,0.41432770871373437,0.0,0.13121188249940272,0.0
